Loading dataset refvg train into memory...
number of refs: 721164
Loading dataset refvg val into memory...
number of refs: 36183
Epoch: [1][8800/11269]	Loss 1.6496 (1.5361)	Prec 0.4681
Epoch: [1][8900/11269]	Loss 1.6071 (1.5365)	Prec 0.4703
Epoch: [1][9000/11269]	Loss 1.4913 (1.5361)	Prec 0.4764
Epoch: [1][9100/11269]	Loss 1.4112 (1.5353)	Prec 0.4719
Epoch: [1][9200/11269]	Loss 1.3836 (1.5348)	Prec 0.4642
Epoch: [1][9300/11269]	Loss 1.7774 (1.5344)	Prec 0.4806
Epoch: [1][9400/11269]	Loss 1.6842 (1.5342)	Prec 0.4803
Epoch: [1][9500/11269]	Loss 1.5406 (1.5338)	Prec 0.4661
Epoch: [1][9600/11269]	Loss 1.5980 (1.5337)	Prec 0.4722
Epoch: [1][9700/11269]	Loss 1.6525 (1.5332)	Prec 0.4792
Epoch: [1][9800/11269]	Loss 1.4088 (1.5325)	Prec 0.4831
Epoch: [1][9900/11269]	Loss 1.4460 (1.5320)	Prec 0.4803
Epoch: [1][10000/11269]	Loss 1.3374 (1.5315)	Prec 0.4889
Epoch: [1][10100/11269]	Loss 1.6624 (1.5311)	Prec 0.4777
Epoch: [1][10200/11269]	Loss 1.4900 (1.5309)	Prec 0.4798
Epoch: [1][10300/11269]	Loss 1.6132 (1.5308)	Prec 0.4688
Epoch: [1][10400/11269]	Loss 1.5070 (1.5306)	Prec 0.4747
Epoch: [1][10500/11269]	Loss 1.4947 (1.5305)	Prec 0.4834
Epoch: [1][10600/11269]	Loss 1.4493 (1.5301)	Prec 0.4819
Epoch: [1][10700/11269]	Loss 1.1913 (1.5302)	Prec 0.4675
Epoch: [1][10800/11269]	Loss 1.6061 (1.5299)	Prec 0.4794
Epoch: [1][10900/11269]	Loss 1.4857 (1.5296)	Prec 0.4809
Epoch: [1][11000/11269]	Loss 1.5310 (1.5295)	Prec 0.4741
Epoch: [1][11100/11269]	Loss 1.4579 (1.5295)	Prec 0.4736
Epoch: [1][11200/11269]	Loss 1.3804 (1.5298)	Prec 0.4733
Epoch: [1][100/566]	Loss 1.4986 (1.5360)	Prec 0.4984
Epoch: [1][200/566]	Loss 1.8663 (1.5512)	Prec 0.4877
Epoch: [1][300/566]	Loss 1.7601 (1.5523)	Prec 0.4958
Epoch: [1][400/566]	Loss 1.7612 (1.5566)	Prec 0.4909
Epoch: [1][500/566]	Loss 1.6695 (1.5609)	Prec 0.4848
Epoch: [1]	Loss 1.5592	Prec 0.4921
0.0001
Epoch: [2][100/11269]	Loss 1.6070 (1.4693)	Prec 0.5030
Epoch: [2][200/11269]	Loss 1.4389 (1.4859)	Prec 0.4920
Epoch: [2][300/11269]	Loss 1.5576 (1.4852)	Prec 0.4923
Epoch: [2][400/11269]	Loss 1.6467 (1.4882)	Prec 0.5028
Epoch: [2][500/11269]	Loss 1.5206 (1.4825)	Prec 0.4970
Epoch: [2][600/11269]	Loss 1.3502 (1.4806)	Prec 0.4894
Epoch: [2][700/11269]	Loss 1.5102 (1.4752)	Prec 0.4989
Epoch: [2][800/11269]	Loss 1.3333 (1.4705)	Prec 0.5008
Epoch: [2][900/11269]	Loss 1.2911 (1.4672)	Prec 0.4952
Epoch: [2][1000/11269]	Loss 1.1047 (1.4627)	Prec 0.4967
Epoch: [2][1100/11269]	Loss 1.4023 (1.4610)	Prec 0.4966
Epoch: [2][1200/11269]	Loss 1.4560 (1.4596)	Prec 0.5005
Epoch: [2][1300/11269]	Loss 1.4415 (1.4593)	Prec 0.4947
Epoch: [2][1400/11269]	Loss 1.4682 (1.4571)	Prec 0.4948
Epoch: [2][1500/11269]	Loss 1.3573 (1.4523)	Prec 0.5108
Epoch: [2][1600/11269]	Loss 2.0855 (1.4566)	Prec 0.4789
Epoch: [2][1700/11269]	Loss 1.4290 (1.4709)	Prec 0.4261
Epoch: [2][1800/11269]	Loss 1.5043 (1.4756)	Prec 0.4619
